team,proj_record,current_sos,current_rank,remaining_sos,remaining_rank,total_sos,total_rank
Columbia,16.71-11.29,1363.67,285,1504.65,204,1434.16,233
Kennesaw St,18.07-12.93,1367.73,282,1542.55,184,1455.14,212
Utah Tech,18.79-13.21,1503.57,161,1514.39,197,1508.98,176
Navy,24.59-6.41,1226.59,363,1293.04,301,1259.82,329
N Kentucky,18.95-12.05,1305.01,333,1412.01,252,1358.51,284
Charlotte,15.04-15.96,1570.29,126,1809.88,99,1690.08,106
UIC,17.14-13.86,1444.3,215,1503.09,205,1473.7,198
UT Rio Grande,17.84-13.16,1480.42,180,1482.74,220,1481.58,195
Siena,20.21-10.79,1362.25,289,1243.83,313,1303.04,308
CSU Northridge,20.45-11.55,1473.69,189,1430.87,244,1452.28,218
Idaho,17.05-13.95,1367.88,281,1388.97,257,1378.43,271
Campbell,14.77-16.23,1544.44,137,1425.96,245,1485.2,194
Merrimack,21.2-9.8,1469.27,195,1276.51,308,1372.89,273
Boston College,9.41-21.59,1794.57,73,2006.66,64,1900.61,71
Ohio,15.83-15.17,1555.07,133,1881.89,91,1718.48,102
Texas A&M-CC,16.56-14.44,1407.64,242,1210.92,315,1309.28,305
FIU,14.61-16.39,1474.75,187,1630.53,141,1552.64,149
Drake,12.58-18.42,1451.33,207,1701.04,121,1576.19,141
Queens,18.16-12.84,1470.57,193,1377.6,268,1424.08,239
Montana,15.57-15.43,1367.25,283,1497.48,206,1432.36,236
Elon,15.05-15.95,1433.12,221,1625.22,145,1529.17,161
Wofford,19.15-11.85,1351.28,301,1376.08,271,1363.68,281
American,17.6-13.4,1353.69,300,1166.02,326,1259.86,328
Vermont,19.8-11.2,1281.24,344,1163.74,327,1222.49,341
San José St,8.34-22.66,1726.51,86,1647.65,135,1687.08,107
Idaho St,13.3-17.7,1397.35,254,1360.12,275,1378.74,270
Coastal,18.21-12.79,1399.62,251,1335.08,283,1367.35,278
Colgate,18.23-12.77,1403.2,248,1335.72,282,1369.46,274
Missouri St,14.42-16.58,1402.47,249,1630.53,141,1516.5,172
Fordham,16.8-14.2,1412.49,240,1764.23,105,1588.36,138
App State,19.48-11.52,1378.72,274,1435.67,242,1407.19,252
FGCU,15.61-15.39,1428.95,222,1129.47,337,1279.21,324
S Dakota St,14.49-16.51,1366.38,284,1117.78,340,1242.08,334
