rank,team,rating,record,best_win,best_win_elo
260,E Kentucky,1345.1,7-12,Jax State,1436.7
261,W Carolina,1339.2,6-11,ETSU,1660.7
262,West Georgia,1338,9-9,Troy,1696.6
263,Denver,1335.8,9-11,Colorado St,1900
264,SIUE,1331,11-8,Drake,1541
265,Longwood,1329.6,10-10,Winthrop,1659.7
266,Evansville,1329.6,5-15,Oregon St,1583.9
267,Cal Poly,1329.2,7-12,UC San Diego,1896.5
268,Howard,1327.2,12-8,UNC Wilmington,1865.3
269,East Carolina,1324.3,5-13,Buffalo,1727.1
270,Florida A&M,1323.3,7-9,Jacksonville,1321.3
271,Jacksonville,1321.3,7-12,Bethune,1380.6
272,Grambling,1321.3,8-10,Southern Miss,1488.9
273,E Texas A&M,1317.7,8-12,UT Rio Grande,1454.6
274,Sacred Heart,1316.3,7-13,Siena,1532.5
275,Old Dominion,1315.5,6-14,App State,1426.5
276,Bellarmine,1301.7,7-13,C Arkansas,1396
277,UMBC,1300.1,10-7,Bucknell,1254.9
278,Radford,1297.6,11-10,Longwood,1329.6
279,Bakersfield,1291.7,8-12,UC Davis,1695.4
280,AR-Pine Bluff,1291.3,6-13,UIC,1501.3
281,Hampton,1289.8,9-10,Towson,1572.8
282,Detroit Mercy,1287.9,8-10,Youngstown St,1401.1
283,Omaha,1287.5,9-11,Portland St,1628.7
284,Presbyterian,1285,10-10,ETSU,1660.7
285,NC A&T,1281,7-10,UNC Greensboro,1271
286,SC Upstate,1278.7,9-12,Fresno St,1676.6
287,Southern,1275.3,7-11,Bethune,1380.6
288,Stetson,1274.6,7-12,Lipscomb,1606.9
289,NJIT,1272.3,9-11,Fordham,1444.2
290,Le Moyne,1271.4,9-10,Long Island,1555
291,E Illinois,1271.2,8-11,Tennessee St,1450.8
292,UNC Greensboro,1271,8-12,Youngstown St,1401.1
293,Chattanooga,1266.6,9-10,Wofford,1543.6
294,Morehead St,1261.3,9-10,SE Missouri,1346.1
295,UTEP,1261,6-12,MTSU,1777.7
296,N Illinois,1260.9,6-12,UMass,1629
297,Canisius,1256.9,8-11,Fairfield,1423.6
298,Sacramento St,1255.8,6-11,N Colorado,1566.4
299,Bucknell,1254.9,6-13,Delaware,1252.9
300,Delaware,1252.9,5-13,G Washington,1887
301,Mount St Marys,1246.6,8-12,Iona,1629.7
302,North Dakota,1242.8,10-12,Winthrop,1659.7
303,Holy Cross,1237.9,8-11,American,1522.6
304,Tennessee Tech,1235.8,7-12,SE Missouri,1346.1
305,N Arizona,1231.7,6-14,SE Missouri,1346.1
306,Manhattan,1231.4,8-13,Quinnipiac,1694.4
307,Mercyhurst,1228.4,8-11,C Connecticut,1385.2
308,Prairie View,1228.4,8-11,AR-Pine Bluff,1291.3
309,C Michigan,1225.6,5-14,Kent State,1837.7
310,Air Force,1225.5,3-16,SIUE,1331
311,Georgia St,1220.9,7-12,Marshall,1737.6
312,Hou Christian,1219.7,7-12,New Orleans,1450.8
313,E Washington,1215.2,4-14,Idaho St,1534.2
314,UMass Lowell,1207.9,8-11,Sacred Heart,1316.3
315,N'Western St,1207.8,6-13,Texas A&M-CC,1526.2
316,Boston U,1205.4,8-12,Harvard,1426
317,New Haven,1204.7,9-10,UMass Lowell,1207.9
318,UAlbany,1204.6,7-12,Vermont,1506.5
319,Little Rock,1204.5,9-10,Lindenwood,1437.2
320,Oral Roberts,1199.8,5-15,Kennesaw St,1588.2
321,Southern Utah,1197.1,6-13,Tarleton St,1697.1
322,Brown,1196.4,7-10,Columbia,1609.6
323,UTSA,1185.9,4-14,GA Southern,1407.8
324,North Alabama,1178.9,6-11,San Francisco,1828.7
325,Loyola Chicago,1174.9,5-15,Santa Clara,2177.5
326,SE Louisiana,1173.2,5-14,Navy,1500.4
327,Jackson St,1161.5,5-13,Prairie View,1228.4
328,Alabama St,1159.2,5-13,UAB,1741.1
329,Norfolk St,1156.3,9-12,Hampton,1289.8
330,Lehigh,1155.6,8-12,Colgate,1538.6
331,Bryant,1140.1,6-13,Dartmouth,1389.3
332,MD Eastern,1136.4,8-13,Longwood,1329.6
333,Ball State,1134.2,6-13,Ohio,1600.4
334,Army,1125.7,7-12,UMBC,1300.1
335,Lafayette,1116.4,5-15,Holy Cross,1237.9
336,Cleveland St,1113.1,6-14,Youngstown St,1401.1
337,Wagner,1099.4,6-11,Manhattan,1231.4
338,New Hampshire,1097.7,5-12,Boston U,1205.4
339,VMI,1096.3,6-14,Chattanooga,1266.6
340,Alcorn St,1093.6,3-14,Alabama A&M,1438.5
341,Louisiana,1085.2,5-15,South Alabama,1572
342,NC Central,1080.2,7-12,Norfolk St,1156.3
343,Loyola MD,1054.6,6-14,Boston U,1205.4
344,The Citadel,1050.1,5-14,W Carolina,1339.2
345,So Indiana,1045.4,4-14,Valparaiso,1556.8
346,Niagara,1028.8,5-13,Sacred Heart,1316.3
347,FDU,1026.3,6-13,Mercyhurst,1228.4
348,IU Indy,1021.1,5-16,Robert Morris,1585.4
349,North Florida,1016.9,3-16,North Alabama,1178.9
350,Saint Francis,998.9,5-14,Wagner,1099.4
351,Fisk,987.3,0-4,NA,NA
352,Stonehill,982.7,6-13,Mercyhurst,1228.4
353,Maine,975.3,3-17,NJIT,1272.3
354,Morgan St,965.2,6-13,Niagara,1028.8
355,Texas Southern,960.9,4-13,Alcorn St,1093.6
