team,proj_record
Jessup,0-1
McKendree,0-1
Campbellsville,0-1
McMurry,0-1
Peru State,0-1
Tiffin,0-1
Sarah Lawrence,0-1
Lyon,0-1
Lewis & Clark,0-1
SalishKootenai,0-1
St. Francis IL,0-1
Harris Stowe,0-1
PSU Behrend,0-1
Bluefield,0-1
Albany St,0-1
Simpson (CA),0-1
Boyce,0-1
Regis U,0-1
NW Okla St,0-1
Warner Pac,0-1
W Montana,0-1
Truett McCnnll,0-1
UC Col Springs,0-1
AK-Anchorage,0-1
Apprentice,0-1
William Peace,0-1
UMass Boston,0-1
Greensboro,0-1
Berea,0-1
Lady of Lake,0-1
Caldwell,0-1
Alice Lloyd,0-1
EMERSON,0-1
Dkta Wesleyan,0-1
Buena Vista,0-1
St Joseph's LI,0-1
Hanover,0-1
Sci & Arts OK,0-1
Widener,0-1
Bluefield St,0-1
Northern NM,0-1
Hunting AL,0-1
Ozark Chrstn,0-1
Pacif. Lutheran,0-1
Warren Wilson,0-1
Alfred St,0-1
Thiel,0-1
Occidental,0-1
Olivet,0-1
Voorhees,0-1
Caltech,0-1
WV Wesleyan,0-1
Lncstr Bible,0-1
Embry Rid (AZ),0-1
York (NE),0-1
Regis College,0-1
John Jay,0-1
UTPermianBasin,0-1
Randolph,0-1
Fisher,0-1
Blackburn,0-1
LA Christian,0-1
Mayville St,0-1
Lehman,0-1
Emmanuel (MA),0-1
Salve Regina,0-1
Mitchell,0-1
Southwest,0-1
SUNY Coble,0-1
Fort Valley St,0-1
Paul Quinn,0-1
Houghton,0-1
Mercy,0-1
Allegheny,0-1
PSU New Kens,0-1
Western NM,0-1
Gallaudet,0-1
Merch Marn,0-1
Franciscan,0-1
Bryant Str-Alb,0-1
Loras,0-1
John Brown,0-1
VT-Lyndon,0-1
Rivier,0-1
Evangel,0-1
Valley Forge,0-1
UT Southern,0-1
Trinity (FL),0-1
Benedictne,0-1
St Joseph BKN,0-1
Waynesburg,0-1
ME Fort Kent,0-1
SUNY Delhi,0-1
B'tine Mesa,0-1
St Elizabeth,0-1
Paul Smith's,0-1
Adrian,0-1
Dicknsn PA,0-1
Southern NO,0-1
Gwynedd Mercy,0-1
McPherson,0-1
Earlham,0-1
Curry,0-1
Miami Mid'town,0-1
Mansfield,0-1
IU Columbus,0-1
Christendom,0-1
Brevard,0-1
J&W (NC),0-1
THMAS,0-1
Spurgeon,0-1
Kentucky St,0-1
Holy Family,0-1
Eastern,0-1
Rust,0-1
St. Ambrose,0-1
Elmira,0-1
Han LaGrange,0-1
Miss for Women,0-1
