season,rank,team,rating,wins,losses,best_win_name,best_win_elo
2006,36,Louisville,2111.589206577896,21,13,Cincinnati,2116.753800585104
2006,37,California,2108.3769754920536,20,11,UCLA,2318.7075218546584
2006,38,Texas A&M,2106.0776972980725,22,9,Texas,2336.656481756748
2006,39,Nevada,2105.599675934449,27,6,Kansas,2188.5490522729906
2006,40,Colorado,2100.5217928319626,20,10,Oklahoma,2165.9547893875983
2006,41,Maryland,2100.038462647392,19,13,Boston College,2203.7215507072483
2006,42,Florida St,2091.102030752557,20,10,Duke,2533.4019375446637
2006,43,Missouri St,2086.7353084173305,22,9,Northern Iowa,2162.4474156450337
2006,44,George Mason,2083.347026376043,27,8,UConn,2472.7362340723207
2006,45,Air Force,2080.7976104562067,24,7,Miami,1957.7789449758357
2006,46,Vanderbilt,2078.775424232609,17,13,Georgetown,2185.7112446112155
2006,47,Notre Dame,2075.436985828023,16,14,Vanderbilt,2078.775424232609
2006,48,Creighton,2068.6968540251087,20,10,Northern Iowa,2162.4474156450337
2006,49,Marquette,2057.486589436871,20,11,UConn,2472.7362340723207
2006,50,Clemson,2055.3037181397644,19,13,Maryland,2100.038462647392
2006,51,UAB,2054.639444234935,24,7,Memphis,2473.0245442155697
2006,52,UNC Wilmington,2052.3271283765243,25,8,George Mason,2083.347026376043
2006,53,Seton Hall,2042.635430379321,18,12,Pitt,2331.969774918092
2006,54,South Carolina,2033.6802721952272,23,15,Florida,2407.6341072366117
2006,55,Alabama,2028.62174161632,18,13,Florida,2407.6341072366117
2006,56,Bradley,2026.9029336015888,22,11,Pitt,2331.969774918092
2006,57,Hawai'i,2024.9581906278565,17,11,Michigan St,2135.907481175267
2006,58,Rutgers,2017.9584260669885,19,13,Louisville,2111.589206577896
2006,59,Oklahoma St,2004.6516562242632,17,16,Texas,2336.656481756748
2006,60,Old Dominion,2004.2912523499997,24,10,Colorado,2100.5217928319626
2006,61,Xavier,2002.293821722829,21,11,Cincinnati,2116.753800585104
2006,62,Wake Forest,1997.6379276410764,17,17,NC State,2235.3795866938262
2006,63,Utah State,1997.5025537587146,23,9,Nevada,2105.599675934449
2006,64,Iowa State,1993.3387909435655,16,14,Iowa,2172.845243368497
2006,65,Milwaukee,1988.9764666239284,22,9,Oklahoma,2165.9547893875983
2006,66,Hofstra,1978.9896521186195,26,7,George Mason,2083.347026376043
2006,67,Nebraska,1978.6469285146263,19,14,Oklahoma,2165.9547893875983
2006,68,Western KY,1978.4964550700379,23,8,UAB,2054.639444234935
2006,69,Iona,1972.465712908006,23,8,Iowa State,1993.3387909435655
2006,70,Temple,1965.0486999913844,17,15,G Washington,2194.8299379613863
2006,71,Kansas St,1958.1774073456713,15,13,Kansas,2188.5490522729906
2006,72,Miami,1957.7789449758357,18,16,North Carolina,2192.946667689442
2006,73,Winthrop,1957.305718106104,23,8,Marquette,2057.486589436871
2006,74,S Illinois,1953.4072481127514,22,11,Northern Iowa,2162.4474156450337
2006,75,Houston,1945.9895779017845,21,10,LSU,2311.9226377936343
2006,76,Minnesota,1945.6394529810632,16,15,Michigan,2176.386378309325
2006,77,Georgia,1935.4938862342508,15,15,Vanderbilt,2078.775424232609
2006,78,Akron,1933.950474584726,23,10,Temple,1965.0486999913844
2006,79,Saint Joseph's,1931.7834699692187,19,14,Kansas,2188.5490522729906
2006,80,Virginia,1927.541943379583,15,15,Boston College,2203.7215507072483
2006,81,Kent State,1925.0294516070944,25,9,Akron,1933.950474584726
2006,82,DePaul,1923.788853618141,12,15,Syracuse,2159.6765275678345
2006,83,San Diego St,1921.643980084944,24,9,Air Force,2080.7976104562067
2006,84,Washington St,1919.9293987707188,11,17,Washington,2237.355347420085
2006,85,Virginia Tech,1918.8911462185215,14,16,Florida St,2091.102030752557
2006,86,Providence,1918.8400597902314,12,15,Rutgers,2017.9584260669885
2006,87,UTEP,1915.8014927640004,21,10,UAB,2054.639444234935
2006,88,Butler,1914.971230160535,20,13,Bradley,2026.9029336015888
2006,89,Murray St,1912.9381082874688,24,7,Samford,1863.8752807889637
2006,90,USC,1911.6508843191853,17,13,UCLA,2318.7075218546584
2006,91,Montana,1911.2671274376446,24,7,Nevada,2105.599675934449
2006,92,Oregon,1900.4395025114115,15,18,Washington,2237.355347420085
2006,93,Mississippi St,1899.3084333668467,15,15,Arkansas,2171.9329095779876
2006,94,VCU,1897.7008720736317,19,10,Old Dominion,2004.2912523499997
2006,95,UNLV,1897.3410532570658,17,13,Hawai'i,2024.9581906278565
2006,96,N'Western St,1891.045175191128,26,8,Iowa,2172.845243368497
2006,97,Penn,1890.9773624469117,20,9,Hawai'i,2024.9581906278565
2006,98,BYU,1890.5285411622547,20,9,Air Force,2080.7976104562067
2006,99,South Alabama,1889.795861356655,24,7,Western KY,1978.4964550700379
2006,100,N Illinois,1886.8384845255878,17,11,Kansas St,1958.1774073456713
2006,101,Colorado St,1879.5215320480966,16,15,Colorado,2100.5217928319626
2006,102,La Salle,1879.221316100959,18,10,Xavier,2002.293821722829
2006,103,Ohio,1876.4138447616986,19,11,Akron,1933.950474584726
2006,104,Auburn,1875.0087677746671,12,16,Temple,1965.0486999913844
2006,105,Buffalo,1871.4253394680272,19,13,Rutgers,2017.9584260669885
2006,106,Miami OH,1868.7505547961675,18,11,Akron,1933.950474584726
2006,107,New Mexico,1866.8511662770798,17,13,Air Force,2080.7976104562067
2006,108,Penn State,1865.256287855097,15,15,Illinois,2355.6798885876756
2006,109,Louisiana Tech,1865.0693019045334,20,13,Hawai'i,2024.9581906278565
2006,110,Samford,1863.8752807889637,20,11,Murray St,1912.9381082874688
2006,111,Pacific,1860.6705839805397,24,8,Texas A&M,2106.0776972980725
2006,112,Davidson,1859.6418246184815,20,11,Saint Joseph's,1931.7834699692187
2006,113,AK-Anchorage,1855.702946258883,1,2,S Illinois,1953.4072481127514
2006,114,UMass,1846.7687250735073,13,15,Xavier,2002.293821722829
2006,115,Northwestern,1843.7187237343098,14,15,Wisconsin,2200.3688314380756
2006,116,Texas Tech,1843.115606915966,15,17,Oklahoma St,2004.6516562242632
2006,117,Saint Louis,1841.1583895735685,16,13,Xavier,2002.293821722829
2006,118,Manhattan,1829.9824813287842,20,11,Maryland,2100.038462647392
2006,119,Stanford,1828.9957170033626,16,14,Washington,2237.355347420085
2006,120,Loyola Chicago,1820.2620235592055,19,11,Bradley,2026.9029336015888
2006,121,St John's,1818.072972517002,11,15,Pitt,2331.969774918092
2006,122,San Diego,1815.788550781682,18,12,San Diego St,1921.643980084944
2006,123,Arizona St,1815.0583974278609,11,17,California,2108.3769754920536
2006,124,Drexel,1814.1069303395384,15,16,Old Dominion,2004.2912523499997
2006,125,Dayton,1807.6286375391323,14,17,Cincinnati,2116.753800585104
2006,126,Ole Miss,1805.5441015839037,14,16,Arkansas,2171.9329095779876
2006,127,Northeastern,1803.8007092997793,19,11,Old Dominion,2004.2912523499997
2006,128,Fresno St,1802.6370518028464,15,13,Nevada,2105.599675934449
2006,129,Saint Mary's,1802.1649440304784,17,12,Nevada,2105.599675934449
2006,130,Georgia Tech,1800.2470375291857,11,17,NC State,2235.3795866938262
2006,131,Charlotte,1796.460287370822,19,13,Rutgers,2017.9584260669885
2006,132,Missouri,1796.3750370971507,12,16,Kansas,2188.5490522729906
2006,133,Drake,1792.4592954763298,12,19,Bradley,2026.9029336015888
2006,134,Marist,1786.3844856447884,19,10,Iona,1972.465712908006
2006,135,Utah,1784.0426456391099,14,15,Utah State,1997.5025537587146
2006,136,UIC,1779.9086071275499,16,15,Milwaukee,1988.9764666239284
2006,137,Rhode Island,1774.3251735674628,14,14,Temple,1965.0486999913844
2006,138,Delta State,1773.5843828328213,1,0,Lamar,1558.0530408587852
2006,139,Toledo,1766.7133530854585,20,11,Akron,1933.950474584726
2006,140,Oral Roberts,1761.0851419030882,21,12,USC,1911.6508843191853
2006,141,Boise St,1760.0135150366991,14,15,Montana,1911.2671274376446
2006,142,Purdue,1757.0921430223157,9,19,Wisconsin,2200.3688314380756
2006,143,Tennessee Tech,1746.4777443754635,19,12,Milwaukee,1988.9764666239284
2006,144,Sacramento St,1746.143882575833,15,15,Denver,1697.8061606984459
2006,145,Wyoming,1740.4194636863936,14,18,Air Force,2080.7976104562067
2006,146,New Mexico St,1738.1916871429996,16,14,Hawai'i,2024.9581906278565
2006,147,Holy Cross,1738.1732490536117,20,12,Northeastern,1803.8007092997793
2006,148,Siena,1735.7233991904545,15,13,Iona,1972.465712908006
2006,149,Indiana St,1727.7632144828897,13,16,Northern Iowa,2162.4474156450337
2006,150,Texas A&M-CC,1725.9113083107702,20,8,South Florida,1540.3264343605713
2006,151,Sam Houston,1721.9462662648293,22,9,N'Western St,1891.045175191128
2006,152,Georgia So,1718.9286456709367,20,10,Davidson,1859.6418246184815
2006,153,Baylor,1711.864679539813,4,13,Iowa State,1993.3387909435655
2006,154,Oregon St,1711.2340179823932,13,18,Arizona,2158.027596269256
2006,155,MTSU,1709.3568133448348,16,12,Utah State,1997.5025537587146
2006,156,UC Irvine,1708.798090362205,16,13,Pacific,1860.6705839805397
2006,157,LMU,1708.7245112489443,12,18,BYU,1890.5285411622547
2006,158,Loyola MD,1699.167073223714,15,13,Marist,1786.3844856447884
2006,159,Denver,1697.8061606984459,16,15,South Alabama,1889.795861356655
2006,160,Illinois St,1691.9172502314132,9,19,Creighton,2068.6968540251087
2006,161,Tarleton,1691.9105299484672,1,0,TCU,1465.5277188733046
2006,162,Seattle U,1684.417156661815,1,0,Portland,1525.7308793673624
