rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
218,Atalanta,ITA,1450.2883512809954,11,9,18,Inter,1564.7145701613836
219,Sunderland,ENG,1447.836013498826,9,12,17,Man City,1578.5969624524912
220,Newcastle,ENG,1447.2293398275365,11,8,19,Chelsea,1561.4801451836083
221,Rennes,FRA,1446.8828025460116,13,7,18,Paris SG,1542.6997687002058
222,Vicenza,ITA2,1444.7219956960787,10,12,20,Verona,1569.5172318626958
223,Middlesbrough,ENG2,1444.2709722698003,18,5,23,Cardiff,1594.6298218405025
224,Wolves,ENG2,1443.9217395238204,14,9,23,Hull,1565.1326572664836
225,Academica,POR,1443.7248580155224,6,10,14,Maritimo,1498.7304165492712
226,Hartlepool,ENG3,1443.3730321186936,9,14,23,Sheffield United,1569.4024768546578
227,Le Mans,FRA2,1443.0945920590539,11,7,20,Caen,1517.4881545462504
228,La Coruna,ESP,1439.3989783492593,8,11,19,Malaga,1538.6149259650767
229,Hoffenheim,GER,1438.8026951786333,8,7,19,Dortmund,1598.742990755921
230,Wigan,ENG,1438.7006378708136,9,9,20,Tottenham,1528.356786894929
231,Nijmegen,NED,1436.7700421869947,10,7,17,Utrecht,1557.239201905901
232,Celta,ESP,1436.4122394601554,10,7,21,Sevilla,1519.6280619368758
233,Werder Bremen,GER,1435.8890667567418,8,10,16,Mainz,1511.782362903683
234,Mallorca,ESP,1435.6435304718768,9,9,20,Betis,1526.3425689348924
235,Stevenage,ENG3,1434.4511802939085,15,9,22,Brentford,1572.134208035364
236,Portsmouth,ENG3,1433.2363730113373,10,12,24,Sheffield United,1560.6565076893287
237,Palermo,ITA,1432.2636960738337,6,14,18,Roma,1530.715855527875
238,Bury,ENG3,1430.650956060404,9,14,23,Doncaster,1577.2726627970744
239,Moreirense,POR,1430.5228131123388,5,9,16,Nacional,1500
240,Olhanense,POR,1430.2986866646252,5,10,15,Rio Ave,1508.9878277361604
241,VVV Venlo,NED,1429.9186219513049,6,10,18,Vitesse,1573.8721308434951
242,Sedan,FRA2,1429.4010935306858,6,13,19,Auxerre,1516.3945277232842
243,Siena,ITA,1423.749395594254,9,9,20,Lazio,1545.0831775780448
244,Ascoli,ITA2,1418.4469271807238,11,9,22,Brescia,1526.6381121403565
245,Beira Mar,POR,1418.334440550812,5,8,17,Rio Ave,1519.6563532801576
246,Gil Vicente,POR,1417.837244676884,6,7,17,Moreirense,1498.9763366427294
247,Setubal,POR,1417.4306569371338,7,5,18,Estoril,1506.9811568127275
248,Grosseto,ITA2,1410.7491899990387,7,13,22,Sassuolo,1603.1368142983943
249,Zaragoza,ESP,1410.658324915096,9,7,22,Sevilla,1518.4031667880806
250,Fortuna Dusseldorf,GER,1410.0800501706162,7,9,18,Ein Frankfurt,1518.1105794274313
251,Sandhausen,GER2,1408.616879601962,6,8,20,Cottbus,1537.8015095397925
252,Bristol City,ENG2,1407.4747016686615,11,8,27,Watford,1552.2041992330312
253,Willem II,NED,1406.0443985794277,5,8,21,Waalwijk,1506.5771972519094
254,Pro Vercelli,ITA2,1403.8545115532193,8,9,25,Varese,1510.041532935559
255,Reading,ENG,1399.1685003786254,6,10,22,Everton,1531.5987243828902
256,Ajaccio GFCO,FRA2,1397.8895622350988,6,10,22,Nantes,1524.5864250814911
257,QPR,ENG,1393.371908857689,4,13,21,Chelsea,1562.9170595319943
258,Greuther Furth,GER,1389.8705352154243,4,9,21,Nurnberg,1514.236316827675
259,Xerez,ESP2,1380.6545909350893,7,9,26,Girona,1564.3415827070107
260,Brest,FRA,1375.005852062619,8,5,25,Bordeaux,1523.6566102062854
261,Regensburg,GER2,1373.5251246046673,4,7,23,Duisburg,1490.5
262,Pescara,ITA,1349.8634281635743,6,4,28,Fiorentina,1556.726985804321
